Sales of Wheat in tons,pca_1,pca_2
Pakistan,870.9238786934659,-186.47368753834047
Palau,-220.8431449585928,-119.78620356338925
Panama,-499.95366117077907,-16.268210147846553
Papua New Guinea,1286.2693877619654,-57.37026207197176
Paraguay,-384.96943938839706,12.01644791708563
Peru,271.16545365444017,-288.37933078320805
Philippines,1978.7456846735288,-411.89117462898616
Poland,-502.35999532646997,-65.00897963559153
Portugal,-593.0706653435941,-3.528723622040957
Puerto Rico,-704.035611212452,10.533685983459993
Qatar,-427.38922021543993,25.372365943370035
"Korea, Rep.",-198.42969985335307,-64.09640926808436
Moldova,-96.13474707369738,123.27955199374543
Romania,-69.72712683698445,68.24040843785238
Russian Federation,-240.18342107000797,119.5526453174671
Rwanda,953.612339379377,654.692409194084
Saint Kitts and Nevis,-691.4083655240756,25.2274120259595
Saint Lucia,-665.0497120332254,17.714791026938308
Saint Vincent and the Grenadines,-585.5137988692618,15.247669802355603
Samoa,-618.7740905992689,16.334658493523882
San Marino,-724.6562928352834,25.55036948497043
Sao Tome and Principe,455.45861515015406,-96.91775198727657
Saudi Arabia,-476.6954910239305,25.443641957208847
Senegal,997.8625529076965,154.23860891845632
Seychelles,-435.6438903579258,-58.4509710573578
Sierra Leone,2021.4207187358047,626.0849296430824
Singapore,-575.7660194371783,-8.91074764981116
Slovakia,-587.8139277171831,-28.681620982733328
Slovenia,-602.2733060698907,-40.47904021651594
Solomon Islands,804.9346186300688,-561.8580401953288
Somalia,1160.4568765231238,-371.242272214874
South Africa,1790.6338508155998,42.322458687617655
Spain,-622.5357835618327,3.6994860424126053
Sri Lanka,-352.95590424511965,-5.169251083058626
Sudan,911.0107178283547,-26.280892021989686
Suriname,-286.9547963296794,107.31426846331189
Swaziland,1953.6643165173475,493.50540440215923
Sweden,-733.1082994197774,28.68139998034282
Switzerland,-717.3922969130008,19.48885878490107
Syrian Arab Republic,-520.8374070450518,-64.9904543250881
Tajikistan,59.08333891611905,299.91298769475725
Thailand,292.14382437643803,-193.98100622154863
"Macedonia, FYR",-492.17077202453174,-64.09035439873114
Timor-Leste,1628.8678735733693,-495.4181641823801
Togo,2101.958577432407,102.09332772041476
Tokelau,-452.42887917842177,-161.9237518233402
Tonga,-592.3760807639632,14.49127088721708
Trinidad and Tobago,-685.9790526420197,27.747651505755996
Tunisia,-591.4650108916726,-11.778215107359074
Turkey,-511.831397165358,-32.7512446723979
Turkmenistan,-312.408898715148,27.64748073212781
Turks and Caicos Islands,-638.3714154495544,0.1697291521910671
Tuvalu,1082.998616534826,-404.74161900200386
Uganda,915.676579892647,223.91586951862905
Ukraine,-332.21611515025654,117.94696132031186
United Arab Emirates,-616.6816101170471,0.3081742644973744
United Kingdom,-711.6517010335011,32.57074508587765
Tanzania,595.9963102625562,234.58528881266716
Virgin Islands (U.S.),-666.0089038415402,13.684918227540116
United States of America,-731.7201558607633,24.708311757138183
Uruguay,-633.5085371227927,15.656927033832435
Uzbekistan,-204.99015919646502,87.04159572708112
Vanuatu,34.23603022676075,-225.44175009930794
Venezuela,-579.0256684356809,20.888289999036985
Viet Nam,445.0070503107029,-208.4911640848375
Wallis et Futuna,-218.68682290866454,-110.47646064005717
West Bank and Gaza,-568.6024186526178,-4.485885449629954
Yemen,70.1945513118753,-189.10516018851
Zambia,1519.3875549527468,-45.41096010382569
Zimbabwe,1425.2236805468228,421.5649344365446
